llgsolver.__version__: 0.5.1
u0Ms = 0.9173450548482196 T
h_ani_x = 0 T
h_ani_z = 0.29265494515178037 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
    181/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.44992679 
    182/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.43236672 
    183/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.44316168 
    184/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.48231235 
    185/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.54981929 
    186/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.64568309 
    187/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.05308958 
    188/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.20566818 
    189/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.66979038 
    190/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.16227133 
    191/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  1.68311136 
    192/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.23231095 
    193/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.09305551 
    194/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.69897503 
    195/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.61644022 
    196/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.56226628 
    197/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.53645323 
    198/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.53900162 
    199/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.56991078 
    200/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  3.91236715 
    201/201      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  0.00000000 
'solve_hysteresis'  31181.08 ms
